t = 0
b = 14 14 14
E = 0 0 0
1 2 1 0 0 1 1 0 0 0 0 0 0 0 0
2 2 1 0 0 1 1 0 0 0 0 0 0 0 0
3 2 1 0 0 1 1 0 0 0 0 0 0 0 0
4 2 1 0 0 1 1 0 0 0 0 0 0 0 0
5 2 1 0 0 1 1 0 0 0 0 0 0 0 0
6 2 1 0 0 1 1 0 0 0 0 0 0 0 0
7 2 1 0 0 1 1 0 0 0 0 0 0 0 0
8 2 1 0 0 1 1 0 0 0 0 0 0 0 0
9 2 1 0 0 1 1 0 0 0 0 0 0 0 0
10 2 1 0 0 1 1 0 0 0 0 0 0 0 0
11 2 1 0 0 1 1 0 0 0 0 0 0 0 0
12 2 1 0 0 1 1 0 0 0 0 0 0 0 0
12 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
11 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
10 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
9 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
8 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
7 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
6 2 2.5 0 0 -1 -1 0 0 0 0 0 0 0 0
14 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
13 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
12 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
11 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
10 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
9 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
8 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
7 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
6 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
5 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
4 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
3 10 11 0 0 1 -1 0 0 0 0 0 0 0 0
